Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,1,$0.03,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
The Peak,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
The Peak,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,12,$0.03,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
The Peak,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,13,$0.37,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
The Peak,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,12,$0.96,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
The Peak,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,5,$0.00,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,36,$0.04,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,"1,792",$7.17,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,19,$0.05,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,943,$2.36,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,34,$0.09,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,2,$8.00,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,4,$0.20,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Calls,France,Programmable Outbound Minute - France - Mobile - SFR,1,$0.16,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,68,$1.96,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,975,$78.00,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Bangsar Hillpark,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"2,724",$8.17,ACfb263ff615f5f459a0e8784eca1ba87e,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
